theme	strategy_doc	strategy_claim	implementation_evidence	status	note
agpl-autocopy	AGENTS.md "Standard Files"	AGPL v3 LICENSE auto-copied to every synced repo	standard_files.rs ensure_standard_files; per-repo skip_standard_files opt-out; LICENSE in 4 Cargo.toml as license	resolved_and_extended	audit confirmed intact; FUNDING.yml now also a default (post-funding)
secret-layout	AGENTS.md "Tokens & Secrets"	~/.dracon/utilities/sync/secrets/*.env (sync side); load_secret scans *.env	secrets.rs sync_secrets_dir() returns exactly that path; load_secret scans *.env only	mostly_consistent_with_gap	after 2026-06-11 git-auth-prompt fix, ~/.dracon/secrets/pat/ is canonical via symlinks; new layout registry/crates-io-token has no .env ext so code would miss it
git-credential-prompt	(raised by user 2026-06-11)	(asked "are we using from the wrong place?")	After PAT-based helper installed, `env -u GH_TOKEN git ls-remote` returns SHA; no keyring popup	resolved	helper at ~/.dracon/secrets/pat/git-credential-github.sh wired as first helper in ~/.gitconfig
mirror-visibility-sync	AGENTS.md "Mirror Visibility & Metadata Sync"	sync_visibility=true mirrors GitHub public/private; sync_visibility_interval_hours=24	Live policy has sync_visibility=true; visibility.rs implemented; cache in ~/.local/state/dracon/visibility-sync/	consistent	historical incident: web/codeberg flow may need no-op when not all three mirrors configured
inventory-staleness	docs/audit/2026-06-11 release-readiness/REPORT.md	"no unexplained CONCERN/STUCK_PUSH remains"	Fresh `dracon-sync repos --json --full-path` (now): browser-extensions-shared STUCK AHEAD:1,STUCK_PUSH; folder-auto-banner STUCK AHEAD:1,STUCK_PUSH	stale_report	2 new STUCK repos not in the release-readiness report (created/pushed after that report)
subcrate-version-skew	CHANGELOG.md	Root version 0.112.4 (2026-06-07); subcrate versions dracon-sync 0.1.5, dracon-system 0.2.0, dracon-warden 0.3.0 (all 2024-05-03)	Subcrate [package] sections have version 0.1.5 / 0.2.0 / 0.3.0; CHANGELOG 0.112.4 lists dozens of changes but subcrate versions are unchanged since 2024-05-03	semantic_drift	Versioning policy in CHANGELOG says MAJOR/MINOR/PATCH but workspace bump 0.112.4 ↔ subcrate 0.x is not semver-aligned; consumers and audit count cannot agree
ci-vs-local	.github/workflows/ci.yml vs AGENTS.md	CI uses `cargo fmt -p dracon-sync -p dracon-system -p dracon-warden -- --check`	AGENTS.md agrees; README.md has `cargo fmt --check` which is wrong for a workspace	doc_drift_p3	single line in README should be aligned with the CI form
tracked-tarpaulin-config	.gitignore	**/tarpaulin-report.* rule added (CHANGELOG 0.112.4)	git ls-files | rg tarpaulin → tarpaulin.toml (config, not a coverage report)	not_a_problem	tarpaulin.toml is the config file, not a coverage report; rule correctly targets reports only
pi-session-html	AUDIT.md 1.3 P2	13 MB HTML session log tracked	git ls-files | rg "pi-session-" → 0 hits; 0.112.4 P2-4 fixed it	resolved	now untracked
rust_out-tracked	AUDIT.md 1.4 P2	rust_out ELF binary tracked	git ls-files | rg "^rust_out$" → 0 hits	resolved	now untracked
unused-unsafe-edition-2021	AUDIT.md 1.5 P3	unsafe { std::env::set_var(...) } in report.rs/print.rs; not required on edition 2021	rg "unsafe { std::env::set_var" → still present (not audited since)	open_p3	audit called it P3 cosmetic; not fixed in 0.112.4
changelog-vs-source	CHANGELOG.md Unreleased section	Mass-deletion guard, scribe features, ai-bumper features	rg in source: 0 hits for scribe_update, stage_project_state, SimpleAiService	changelog_drift_p2	"Unreleased" reads like a 0.112.0 release that was never finalised; deserves a full rewrite pass
